Gender,Age,Height_In_Inches,Weight_In_Pounds,BMI
Female,34,67.33628,133.6352,20.72151247
Female,20,68.9367,119.3911,17.66321672
Male,35,66.56482,118.4916,18.80168896
Female,27,67.78582,110.3563,16.88566803
Female,25,71.86799,144.6497,19.68998402
Male,26,68.81388,141.3748,20.99030435
Female,26,66.91425,112.1228,17.60579049
Male,21,67.7161,120.4559,18.46898486
Male,28,66.59775,116.2841,18.43317075
Male,19,68.92023,116.7259,17.27717049
Female,35,67.68132,136.0895,20.8874682
Female,24,67.81338,123.9796,18.95475922
Male,23,69.52981,128.8579,18.73992239
Female,27,67.75509,136.1973,20.85851898
Male,31,65.38477,125.863,20.69873013
Male,33,70.78459,145.5794,20.42778636
Male,32,67.55181,129.5468,19.9595862
Female,29,65.70473,119.4562,19.4542391
Female,31,69.24294,128.4726,18.83902135
Male,33,68.39135,123.7223,18.597067
Female,24,68.09415,131.2306,19.89822476
Female,27,69.86933,127.138,18.31053534
Male,32,68.31497,130.6901,19.68836945
Male,26,65.48562,131.4137,21.54505364
Male,27,64.09194,119.3224,20.42273814
Female,20,67.08054,134.2481,20.97557484
Male,33,65.68681,133.8128,21.80419911
Male,32,68.44039,131.2274,19.69692344
Female,32,68.14086,119.4189,18.08242487
Male,19,64.70157,123.7421,20.78196781
Male,22,68.08517,125.3363,19.0094977
Female,35,66.19796,107.8874,17.30933322
Female,18,67.3569,114.6302,17.7637107
Male,19,67.95604,117.8046,17.93514723
Female,30,69.95585,147.535,21.19560459
Female,27,65.99674,147.9077,23.87506928
Female,29,68.70439,134.8945,20.09204261
Female,20,68.07832,122.8732,18.63967487
Female,33,69.54224,136.2962,19.81459594
Female,34,65.58498,112.9359,18.45959039
Female,24,68.00003,137.312,20.87801033
Female,21,68.86915,129.1183,19.1397904
Female,27,71.18982,141.107,19.57544271
Female,22,68.6548,142.4832,21.253021
Female,19,70.05821,124.648,17.85525532
Female,20,72.49367,154.5031,20.66977973
Male,25,69.80293,115.4548,16.65955942
Female,22,69.80387,128.2476,18.5049991
Female,29,68.0335,132.211,20.08263921
Female,28,68.80011,117.6921,17.48106432
Female,29,69.58656,123.8986,17.98930924
Male,35,65.33269,96.52385,15.89909409
Male,30,68.76185,131.8744,19.60939592
Male,23,69.2935,139.4127,20.41343856
Male,26,64.81822,116.6434,19.5193249
Female,28,71.95975,134.0699,18.20332896
Female,22,66.63756,135.3268,21.42616589
Female,29,72.43607,137.4056,18.41168335
Female,34,71.7491,132.2534,18.06228764
Male,31,67.14367,97.69037,15.23492873
Male,25,71.18881,145.0456,20.12240641
Male,31,69.46885,126.7239,18.46193148
Male,18,65.45315,120.6706,19.80337409
Female,22,64.61507,112.5542,18.9536515
Male,33,69.37296,119.6408,17.47823932
Male,18,66.09521,110.0727,17.7148904
Female,22,68.37932,128.5716,19.33278036
Female,35,68.8375,128.1107,19.00789608
Male,24,64.88959,113.4712,18.94673633
Female,21,69.14268,161.3014,23.72163082
Female,21,65.83898,136.3506,22.1151398
Female,19,68.27708,109.3802,16.49634224
Female,20,65.67011,126.3269,20.5948757
Female,30,68.39998,129.8416,19.51195263
Female,21,68.77267,126.5212,18.80746902
Male,33,66.60384,138.8578,22.00749269
Male,18,70.33848,127.5476,18.12529805
Female,28,67.52017,134.0552,20.67356789
Female,35,68.44835,110.7671,16.62201394
Female,27,74.59993,147.0372,18.57587191
Male,32,67.56373,130.1949,20.05236313
Male,31,71.52565,142.5129,19.58526152
Female,28,67.76797,116.0487,17.76602016
Male,26,68.93456,131.205,19.41221951
Male,22,69.64359,127.8589,18.53392867
Male,24,64.54078,130.1828,21.97272967
Male,35,70.3612,110.3731,15.67456832
Male,28,68.7509,119.9506,17.84203853
Female,29,69.51547,125.7864,18.30077935
Male,28,65.74455,121.3022,19.73094959
Male,30,68.1007,129.3231,19.60522263
Female,18,66.52751,134.1397,21.3085362
Male,21,68.85059,114.7156,17.01398213
Male,27,68.54596,132.9952,19.90082425
Female,21,68.65677,122.8314,18.32067581
Female,31,68.10701,134.1875,20.33889042
Male,24,69.45941,135.9299,19.80850234
Male,19,70.79804,125.7816,17.64304205
Female,21,68.63439,123.4122,18.41931019
Male,31,70.49047,126.5028,17.89938665
Female,23,70.62106,138.8435,19.57293316
Male,32,64.22288,124.7478,21.2643526
Male,23,67.91114,123.3007,18.79673091
Female,35,68.93108,138.9163,20.5552075
Female,24,69.99201,160.4327,23.02474267
Male,24,68.76154,125.4809,18.65886658
Female,30,67.11866,129.8029,20.25800456
Male,30,68.01797,133.8531,20.34135715
Female,19,67.27509,123.7572,19.22475102
Female,28,71.27188,158.4771,21.93455913
Male,29,68.88401,133.0347,19.71182869
Male,21,68.84511,118.3629,17.55772428
Male,21,68.01966,113.4327,17.23725791
Female,21,66.95073,125.8741,19.74351931
Female,35,66.01563,129.1451,20.83450623
Female,34,70.36634,153.457,21.78991834
Male,31,67.92076,125.3999,19.11133126
Male,28,69.93628,128.1196,18.41659519
Male,31,69.70422,116.2886,16.82743115
Female,20,67.39122,115.0093,17.80430997
Male,29,67.48521,122.9673,18.98328001
Female,25,68.20774,124.8594,18.86916785
Female,27,71.05723,148.1894,20.63475973
Female,24,67.61191,128.117,19.7042167
Female,34,69.13396,128.4418,18.89393161
Male,24,66.41179,115.3066,18.38072419
Male,35,65.51072,115.8503,18.97890891
Female,21,64.03352,114.4831,19.6302329
Female,19,67.39334,124.7861,19.31661725
Female,18,68.16365,127.6326,19.31322342
Male,30,68.68038,125.2037,18.66167442
Female,21,65.19756,127.3357,21.06135549
Male,18,71.57686,130.2389,17.87286843
Male,18,66.82918,117.5375,18.50303662
Female,20,65.98386,127.2356,20.54622455
Male,34,64.06977,116.5794,19.96706859
Female,26,67.22282,136.6474,21.26017045
Female,33,67.56741,117.1659,18.04369648
Female,26,66.28769,122.0997,19.53654
Female,22,66.79723,118.5487,18.6800792
Male,23,65.27979,120.4821,19.8775958
Female,19,70.59627,132.1285,18.63939525
Male,35,67.05497,127.0142,19.86045326
Female,30,68.55262,123.4302,18.46597066
Male,28,69.21965,129.9591,19.06982558
Female,28,69.16088,137.6839,20.23769106
Female,24,66.47145,128.9056,20.51163612
Female,24,67.65672,124.4906,19.12112784
Male,25,68.94888,115.6681,17.10637522
Male,20,68.39697,131.1997,19.71777653
Female,33,68.02571,120.8518,18.36139952
Male,31,68.2832,124.3849,18.75593651
Female,25,66.9475,105.6898,16.57918478
Male,21,67.52712,126.3744,19.48504778
Male,30,69.83869,146.7883,21.15914407
Male,20,67.00076,133.8422,20.96198628
Female,20,69.72584,123.3291,17.83515451
Female,18,69.96526,151.6467,21.78045174
Female,31,64.56023,114.473,19.30953211
Male,21,67.43558,121.5764,18.79619357
Male,24,70.27541,135.3191,19.26420754
Female,32,67.6665,144.1403,22.13282338
Male,35,68.1636,127.5867,19.30630621
Male,26,72.13664,129.6934,17.52285552
Male,32,66.65036,116.8012,18.48592256
Female,20,69.33963,140.6288,20.56411647
Male,22,65.0522,122.3385,20.32534837
Male,35,68.42587,121.5315,18.24933427
Male,18,71.45806,125.6007,17.2937207
Female,33,67.60868,131.5309,20.23120273
Female,26,68.98823,132.1382,19.51988277
Male,32,69.573,138.6461,20.13840267
Male,32,69.70013,127.6917,18.47967446
Female,19,66.92047,117.4567,18.43990392
Male,27,67.27059,124.4138,19.32933467
Female,35,69.30603,130.9022,19.16036266
Male,28,68.30511,142.7223,21.5072196
Female,26,70.06306,133.457,19.11445763
Male,34,68.83485,119.3079,17.70317998
Female,33,67.63564,116.2521,17.86686775
Male,18,66.4933,115.2943,18.33373233
Male,30,66.61118,127.3027,20.17168531
Male,24,66.51309,108.3641,17.22146144
Female,26,64.55907,112.1905,18.92519557
Male,18,69.32483,134.088,19.6160297
Male,32,69.56615,124.2333,18.04849143
Male,28,69.23979,134.1059,19.66686899
Female,31,68.97424,131.1916,19.38791044
Male,30,69.47654,150.3265,21.89565824
Male,33,69.3952,123.3528,18.00897405
Female,25,67.08814,133.7359,20.89081224
Female,26,70.51604,118.7315,16.78761294
Female,29,69.30569,133.7108,19.57165392
Female,27,68.3634,126.2682,18.99527151
Female,34,67.69758,124.0931,19.03707274
Female,18,68.52809,140.6879,21.06290729
Female,20,67.25979,131.1541,20.38307401
Male,23,70.20612,138.5105,19.75748117
Female,25,67.99466,128.0368,19.47081015
Female,27,69.45941,135.9285,19.80829833
Female,35,67.11274,128.19,20.00981306
Female,34,70.00471,122.1783,17.52824279
Male,27,66.45697,129.6703,20.64230861
Male,21,68.48737,128.1923,19.2149733
Female,28,70.69799,129.6396,18.23569723
Male,21,70.5769,150.9049,21.29987273
Female,30,68.01168,125.3418,19.05143729
Male,18,65.35526,120.6695,19.86256098
Male,28,62.61388,127.7046,22.90151071
Male,24,68.13987,133.2584,20.17859004
Female,35,68.30596,108.0676,16.28460135
Female,21,65.30062,129.1373,21.29197347
Female,18,65.40895,110.5741,18.1709604
Male,20,69.14817,153.3639,22.55072899
Male,29,66.7327,107.9074,17.03619721
Female,33,68.15966,130.2032,19.70451052
Male,23,68.02891,119.5087,18.1556299
Female,30,70.36839,139.4884,19.80531195
Female,35,66.37325,110.4683,17.62991942
Male,29,68.99738,118.3578,17.47956048
Female,18,65.97344,135.5212,21.89111099
Female,26,68.16256,127.0057,19.21897626
Female,35,64.91373,101.2648,16.89601178
Male,30,70.81339,140.2133,19.65881173
Male,23,68.20788,130.6784,19.74847342
Female,33,68.25471,144.5448,21.81403697
Male,26,66.12992,101.0513,16.24593585
Male,25,69.50665,139.9177,20.36192186
Female,28,69.81593,124.0074,17.88699439
Female,35,68.78042,118.6681,17.6361249
Male,29,68.65821,125.5767,18.72935997
Male,33,67.57584,116.4266,17.92537017
Male,26,69.6285,136.3986,19.78038125
Female,34,67.51772,125.2817,19.32194872
Male,32,66.31981,142.7429,22.81743347
Male,29,67.5759,144.2837,22.214289
Male,29,67.38335,139.6947,21.63084854
Female,34,66.25204,146.6106,23.4836546
Male,34,72.11654,136.8595,18.50137513
Female,32,69.89895,128.7758,18.53069792
Male,22,69.16235,139.975,20.57357752
Female,30,66.9517,91.22631,14.30855294
Female,23,69.47286,137.0682,19.96664873
Male,22,68.84075,128.7526,19.10133165
Female,31,68.77562,126.086,18.74116838
Female,30,67.82451,130.8329,19.99596933
Female,32,66.6091,109.1462,17.29578637
Female,28,63.66317,136.7526,23.72236022
Male,24,68.83466,131.4672,19.5075125
Male,25,69.54254,153.5616,22.32442873
Male,25,69.18709,126.7873,18.62191963
Female,30,64.09151,138.3749,23.68400458
Male,30,69.96677,128.5326,18.45986268
Male,29,71.84403,131.7296,17.94323834
Female,19,66.31189,118.2902,18.91318965
Male,24,67.7714,123.197,18.85845204
Female,28,66.27692,123.4119,19.75291645
Female,33,69.16712,128.8532,18.93627913
Male,21,69.18027,130.5783,19.18250538
Female,21,66.63048,110.9128,17.56445219
Male,34,68.9876,157.8304,23.31564358
Female,18,66.84852,138.8225,21.8411294
Male,19,66.92149,109.5993,17.205821
Male,21,67.56328,114.1342,17.57895978
Male,35,64.88273,120.3929,20.10673109
Male,18,66.91696,123.0398,19.31843915
Female,18,65.94969,128.6623,20.79814576
Female,35,70.05637,143.8614,20.60856941
Male,26,70.21546,113.0231,16.11760648
Female,28,65.09564,125.8314,20.87776717
Male,26,71.6577,143.3796,19.63181529
Female,28,70.1609,118.3303,16.90069198
Female,19,69.08046,138.2492,20.368123
Female,33,71.40194,133.7259,18.44141876
Female,22,66.90417,124.4345,19.54489116
Female,22,67.18313,117.3099,18.27313327
Female,29,69.80503,118.0632,17.03491371
Male,29,67.57764,134.0803,20.64228429
Female,18,68.53226,126.4504,18.92905458
Male,23,68.80487,119.6668,17.7719116
Male,22,66.4871,119.4681,19.00097994
Male,21,67.87711,122.438,18.68393572
Female,23,69.05969,134.2747,19.79446487
Male,31,70.8464,137.1416,19.21022547
Male,34,68.38407,122.2271,18.37623099
Male,18,66.73719,134.6728,21.25900237
Female,22,69.9377,124.1592,17.84658142
Female,34,64.87507,107.5534,17.9666575
Female,29,66.85722,111.022,17.46269393
Male,35,68.81243,125.2854,18.60225094
Female,34,68.82634,150.2899,22.30587521
Male,21,66.08205,105.5009,16.98587696
Female,27,68.81879,126.6826,18.8062293
Female,32,67.74935,128.7894,19.72734674
Female,20,70.15775,113.8639,16.26423249
Male,29,70.97369,129.0189,18.00766439
Male,22,70.96103,146.4419,20.44675332
Female,19,65.63933,130.0454,21.22098507
Female,23,66.72497,130.3382,20.58229357
Female,19,64.71503,133.1455,22.35192868
Male,18,71.57674,142.2788,19.52518641
Female,19,68.54471,134.4462,20.11867935
Female,26,72.09703,134.2724,18.16146283
Male,23,70.4841,159.2503,22.5370343
Female,34,67.4369,126.8241,19.60674122
Female,22,70.72413,151.0354,21.22962615
Male,27,66.82089,128.8345,20.28647026
Male,29,68.4804,138.799,20.80906583
Male,25,69.77827,118.6649,17.13486573
Male,19,69.31519,132.0639,19.32529384
Female,23,67.93231,125.3143,19.09179185
Male,31,70.8081,135.2499,18.96574444
Male,25,68.34192,148.7264,22.38785772
Male,20,70.10242,123.0639,17.60611268
Female,20,70.06267,131.8467,18.88403169
Male,26,70.8681,147.1265,20.59624972
Female,24,68.99723,124.6289,18.40578202
Male,29,65.40277,114.1857,18.76801136
Female,24,67.5127,127.4652,19.66162922
Female,33,67.73043,122.5769,18.78623678
Male,20,67.53607,111.545,17.19401739
Female,32,68.30044,125.6614,18.93885482
Female,20,69.85744,132.3308,19.06489549
Male,26,67.55072,134.551,20.73126432
Male,31,66.98588,136.5209,21.39101697
Female,27,69.45052,105.7793,15.41872664
Female,31,67.96643,118.005,17.96016472
Female,29,70.05322,124.1145,17.78136681
Male,25,71.06858,152.1248,21.17598243
Female,30,69.32005,114.6814,16.77930913
Male,35,67.3924,113.4762,17.56635932
Female,35,65.71741,96.56954,15.72092546
Male,24,64.11045,115.4852,19.75456651
Male,28,67.88765,130.1885,19.86048712
Male,34,69.6757,134.3107,19.45121594
Female,21,67.36081,126.2309,19.55914655
Male,24,69.34369,126.1819,18.44938909
Female,19,68.84585,118.6805,17.60445799
Male,28,67.13541,149.8053,23.36806282
Male,25,70.56025,150.4959,21.25216948
Female,22,69.44849,114.3461,16.66842502
Male,25,66.26091,108.851,17.43076529
Female,18,68.78142,147.1507,21.86849426
Male,19,64.31386,119.0699,20.23912165
Female,24,68.5202,118.5414,17.75136001
Female,23,68.65434,127.7207,19.05127829
Female,35,70.08988,116.2814,16.6417289
Female,18,70.48458,156.3703,22.12915653
Male,34,69.01353,141.7589,20.92573276
Female,20,68.06886,124.1629,18.84055608
Male,22,69.61315,133.5897,19.38158215
Male,29,66.40296,126.6477,20.19394889
Female,19,67.05486,125.9922,19.70071385
Male,22,69.62403,133.886,19.41849981
Male,32,68.13434,137.7671,20.86470428
Female,27,68.27433,123.0711,18.56265154
Female,18,63.99289,118.1347,20.28209716
Male,29,69.39033,112.2069,16.38402048
Male,23,63.36659,123.006,21.53795407
Female,21,68.44759,124.3484,18.66047534
Female,20,66.12667,114.907,18.47532147
Male,34,66.912,119.4482,18.75730374
Male,28,69.54043,147.8452,21.4946961
Female,20,67.31471,138.8578,21.54513133
Female,28,66.99543,121.7611,19.07291305
Female,33,70.37472,141.5234,20.0906375
Female,33,66.84525,117.8475,18.54291869
Male,18,67.38545,141.2867,21.87599621
Female,22,65.05616,118.9465,19.75939491
Female,23,69.95585,134.2309,19.28427208
Male,24,69.03861,128.7906,18.99760758
Male,28,68.09923,126.4184,19.16570109
Male,22,66.55002,111.2059,17.65347766
Male,24,68.45993,121.1754,18.1777608
Female,35,67.05542,124.551,19.47503597
Male,22,67.45018,151.1216,23.35388519
Male,33,67.73289,128.6208,19.71109802
Female,21,65.46606,106.7027,17.50418216
Female,33,67.48442,128.1263,19.78017226
Female,31,67.8244,116.9133,17.86861213
Male,18,66.45775,134.571,21.42195172
Male,31,66.17919,115.505,18.54200584
Female,32,66.30983,107.8446,17.24413439
Female,20,65.95216,138.0343,22.3114499
Female,26,64.87451,124.6717,20.8266071
Male,30,66.3694,113.7416,18.15441981
Male,19,70.52101,146.2975,20.68229276
Female,31,66.55678,134.4236,21.3348572
Male,19,67.75061,125.6399,19.24420552
Male,29,65.56464,111.7275,18.27340766
Female,33,68.75846,119.4879,17.76930615
Male,30,69.60315,132.1941,19.18461582
Female,22,69.14293,130.5126,19.19356761
Female,33,66.88356,118.4508,18.61650107
Female,33,67.36378,126.5004,19.59917654
Female,28,64.80826,114.3374,19.13931601
Female,30,69.71255,135.4164,19.59061861
Male,20,66.461,129.5023,20.61306451
Female,27,67.5071,120.5993,18.60564402
Female,33,68.95687,122.36,18.09185971
Female,26,68.11999,116.4353,17.64145248
Male,28,65.63866,129.7145,21.16742048
Male,25,68.28513,129.4322,19.51591311
Female,23,67.29908,126.9459,19.70603492
Male,30,66.62532,120.6675,19.11219303
Female,28,68.82534,136.9041,20.31975875
Male,20,68.39772,134.5794,20.22526225
Female,35,66.20895,125.1912,20.07886802
Male,27,66.24433,135.7157,21.74360204
Male,24,70.96239,144.0736,20.11531157
Female,23,66.34956,137.8456,22.01484528
Male,27,69.95113,141.9147,20.39091612
Male,30,69.19207,129.4251,19.00661099
Female,33,67.05092,156.3107,24.44432501
Male,25,68.5857,132.7412,19.83980559
Male,34,66.26559,132.9041,21.27948262
Male,27,68.09799,124.307,18.84628796
Female,23,66.97201,112.4094,17.62036039
Female,29,66.75992,120.554,19.01729895
Male,19,66.27568,120.1084,19.2248881
Male,18,70.47887,133.3292,18.87149179
Male,20,65.89607,123.5651,20.00670738
Female,23,66.55127,114.9381,18.24526361
Male,34,68.38613,140.6401,21.14325927
Male,33,66.49285,129.3542,20.56977126
Female,30,66.69388,109.0486,17.23641534
Male,20,68.65857,146.6697,21.87508352
Male,25,66.1189,130.9344,21.05723514
Male,30,68.51115,143.0422,21.42596987
Female,34,68.9745,118.8841,17.56893663
Male,22,66.57412,121.4992,19.27353484
Female,33,66.89404,106.7602,16.77387304
Female,19,68.8398,123.6722,18.34812586
Male,31,70.58233,140.0745,19.76814523
Male,18,65.56486,119.8795,19.60656305
Female,28,67.51762,124.1185,19.14260739
Male,33,68.2454,147.5186,22.26890378
Male,30,69.95192,126.322,18.15007978
Male,22,68.13485,119.87,18.15393269
Female,32,69.70146,156.5445,22.65441685
Male,31,68.07289,129.6271,19.66736834
Female,33,69.94556,129.3583,18.58971879
Female,20,68.8114,127.7579,18.96993316
Male,31,68.16207,122.2711,18.50278495
Male,21,70.9585,131.0829,18.30357875
Female,32,67.34019,127.3799,19.74927024
Female,27,69.31455,149.1439,21.82506285
Female,34,65.39469,129.8896,21.35444224
Male,21,68.99958,137.5453,20.31195306
Female,27,68.00869,125.3287,19.05112119
Male,21,69.0132,142.563,21.04463119
Female,34,68.1677,125.5112,18.98995885
Male,22,66.2073,127.1956,20.40136179
Male,24,68.84083,145.956,21.65352376
Female,27,67.96612,132.3117,20.13780436
Male,22,68.43486,140.1941,21.04620491
Female,24,69.30449,118.5162,17.34817514
Female,32,70.03612,125.3728,17.97041029
Female,21,67.01063,120.9344,18.93482415
Female,18,69.95518,129.5075,18.60604157
Male,26,67.79983,120.5562,18.43873676
Male,31,67.22989,124.304,19.3356656
Female,18,68.404,146.3453,21.98946213
Female,20,66.17643,134.2907,21.55947058
Female,24,70.20178,112.7536,16.08544176
Male,28,67.94235,131.865,20.08386227
Male,32,67.4966,103.5828,15.98536941
Male,32,68.81199,109.4734,16.25470886
Female,30,67.92756,130.1062,19.82461614
Male,30,69.74416,144.838,20.93464723
Female,19,71.32231,127.1985,17.58045101
Male,30,67.16705,118.2155,18.4230147
Male,28,68.58215,130.0932,19.44604241
Female,27,63.88864,112.1842,19.32338613
Male,25,70.23978,127.3437,18.14721576
Male,19,70.63357,154.1073,21.71699449
Female,20,64.58449,122.8244,20.70270082
Female,26,68.11787,109.8296,16.64163939
Male,25,68.75846,127.091,18.89997973
Male,21,66.5653,130.9523,20.77859447
Male,26,68.86132,124.0532,18.39314983
Female,29,71.03165,157.4647,21.94210191
Female,28,71.01952,131.8577,18.38014167
Female,26,70.04797,126.3484,18.1041218
Female,35,65.18921,118.4354,19.59426236
Male,19,69.90983,142.9065,20.55769008
Female,34,68.5498,143.3518,21.44813775
Female,22,68.46595,138.7703,20.81354584
Female,31,65.54329,99.65617,16.30972136
Male,27,67.47896,127.436,19.67678743
Male,28,66.1094,134.3551,21.6135721
Female,18,69.17937,147.5066,21.66990818
Male,20,66.36233,131.4949,20.99251544
Male,19,71.16185,139.6139,19.38353679
Female,20,70.09399,127.3597,18.22507342
Female,31,70.02186,147.9327,21.21268887
Female,28,69.93806,135.9627,19.54300943
Female,18,66.40365,123.1849,19.64139798
Male,25,69.10467,126.8762,18.67945461
Male,27,66.91022,104.7945,16.45706551
Male,31,67.96935,127.4981,19.40333149
Male,25,70.28825,149.8366,21.3231456
Male,31,70.72408,150.4398,21.14593816
Female,22,70.92914,135.2796,18.90522045
Male,20,67.06517,120.3846,18.8180968
Male,21,66.66252,132.5196,20.9659954
Male,32,66.47752,105.9927,16.86262416
Female,21,68.5689,110.5155,16.52599632
Male,35,71.44954,134.5787,18.53430384
Male,19,65.23306,116.1786,19.19505939
Female,34,63.55618,102.794,17.89167568
Male,33,66.1525,110.9469,17.82466896
Male,31,64.90924,123.5221,20.61248924
Female,27,68.22832,133.2817,20.12982466
Female,30,64.09493,115.4626,19.76026668
Male,19,71.49457,150.1752,20.65622359
Female,21,66.76934,120.2857,18.96962113
Female,34,71.8433,144.8892,19.73614344
Male,21,64.47663,125.7709,21.27033511
Female,32,67.42392,122.5717,18.95662575
Female,20,67.48252,120.3425,18.57955333
Male,30,71.62407,143.172,19.62180357
Female,24,70.57948,121.235,17.11078491
Male,21,69.96498,143.9715,20.67825681
Male,32,71.109,132.442,18.4151564
Male,31,67.47722,121.0267,18.68812163
Male,31,67.60067,123.7417,19.03763085
Female,30,64.91352,132.2049,22.05850404
Female,18,66.27024,126.7344,20.28879482
Female,31,67.92675,127.4273,19.41688833
Male,30,67.59479,118.0146,18.15967686
Male,24,67.68924,111.3426,17.08523302
Male,33,69.88828,136.7205,19.67993942
Male,28,67.17694,120.6343,18.79443168
Male,28,70.97046,138.3778,19.31568015
Male,18,65.32506,119.5717,19.700062
Female,22,66.79032,105.706,16.65986257
Female,32,67.0541,127.0649,19.86889649
Female,27,67.63647,118.7652,18.25265989
Female,24,69.95658,144.1677,20.71140944
Female,28,68.87277,115.7081,17.15013273
Male,26,67.69633,129.9412,19.93496359
Female,24,70.56769,137.2495,19.37750209
Male,22,68.5935,137.6326,20.5662074
Female,28,68.13221,126.5235,19.16306922
Female,24,67.9287,111.3912,16.9723938
Male,25,66.32264,109.9997,17.58193678
Male,23,67.97544,132.68,20.18832241
Female,20,67.21866,135.3954,21.06798654
Female,31,69.50292,131.3393,19.11557734
Female,32,67.9542,120.0739,18.28162652
Male,30,71.24956,137.0562,18.98161397
Female,20,67.99399,117.8776,17.92623373
Female,20,67.47372,116.7746,18.03341192
Female,26,68.73375,118.3051,17.60606143
Female,18,71.95199,148.9864,20.23297898
Male,26,71.11334,126.4908,17.58553599
Male,30,68.92381,132.023,19.539339
Male,31,67.75649,117.9294,18.06005683
Male,32,64.36944,122.6652,20.81424841
Female,25,71.60898,137.8791,18.90437346
Male,27,68.07891,153.5097,23.28678102
Male,32,69.48146,128.6789,18.73994415
